Song,Artist,Genres,Album,Release_Date,Duration_ms,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Gone Away,Five Finger Death Punch,"['alternative metal', 'groove metal', 'nu metal']",And Justice for None (Deluxe),2018-05-18,275212,62,0.502,0.737,10,-7.572,1,0.0407,0.000374,5.07e-05,0.153,0.277,106.05
"Gone, Gone, Gone",Phillip Phillips,"['folk-pop', 'neo mellow', 'pop rock']",The World From The Side Of The Moon,2012-01-01,209693,14,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002
good 4 u,Olivia Rodrigo,['pop'],SOUR,2021-05-21,178146,86,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928
Good as Hell,Lizzo,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",Cuz I Love You (Super Deluxe),2019-04-17,159735,76,0.682,0.919,0,-3.18,0,0.0875,0.256,0.0,0.442,0.535,95.982
Good Day,Nappy Roots,['dirty south rap'],Good Day,2008-07-08,261773,57,0.859,0.654,9,-6.326,1,0.258,0.57,0.0147,0.498,0.897,94.004
Good Directions,Billy Currington,"['contemporary country', 'country', 'country road']",Doin' Somethin' Right,2005-01-01,215853,74,0.716,0.72,5,-2.183,1,0.0319,0.307,0.0,0.135,0.464,122.512
Good For You,Selena Gomez,"['pop', 'post-teen pop']",Good For You,2015-08-07,221560,60,0.605,0.678,5,-6.48,0,0.0511,0.179,0.0,0.0878,0.212,88.967
Good Old Days (feat. Kesha),Macklemore,"['pop rap', 'seattle hip hop']",GEMINI,2017-09-22,240506,72,0.712,0.51,8,-8.162,1,0.0633,0.446,2.46e-05,0.112,0.268,122.964
Good Time,Alan Jackson,['country'],Good Time,2008-11-05,306773,68,0.652,0.767,9,-10.445,1,0.0372,0.0355,6.92e-06,0.397,0.73,132.017
GOOD TIME,Niko Moon,[],GOOD TIME - EP,2020-02-14,214720,0,0.802,0.59,5,-7.189,1,0.0493,0.0874,0.0,0.275,0.687,138.084
The Greatest (feat. Kendrick Lamar),Sia,"['australian dance', 'australian pop', 'pop']",This Is Acting (Deluxe Version),2016-10-21,210226,70,0.668,0.725,1,-6.127,1,0.266,0.0102,0.000479,0.0561,0.729,191.944
G.R.I.N.D. (Get Ready It's A New Day),Asher Roth,['indie pop rap'],G.R.I.N.D. (Get Ready It's A New Day),2010-01-01,218880,41,0.673,0.84,0,-4.81,1,0.0535,0.0214,0.00259,0.321,0.398,123.077
Growin' Up and Gettin' Old,Luke Combs,"['contemporary country', 'country']",Growin' Up and Gettin' Old,2023-01-27,233666,73,0.511,0.6,2,-5.699,1,0.0268,0.16,5.25e-06,0.114,0.269,146.051
Guilty Pleasure,Bryce Vine,['indie pop rap'],Lazy Fair,2014-04-22,204413,55,0.651,0.835,6,-5.768,1,0.0464,0.00359,0.0,0.118,0.87,150.058
Hail to the King,Avenged Sevenfold,"['alternative metal', 'nu metal']",Hail to the King,2013-08-23,305906,77,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004
Hands To Myself,Selena Gomez,"['pop', 'post-teen pop']",Revival (Deluxe),2015-10-09,200680,71,0.811,0.499,5,-7.161,0,0.118,0.0147,2.44e-06,0.342,0.466,111.016
The Hanging Tree,James Newton Howard,"['orchestral soundtrack', 'soundtrack']",The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Score),2014-11-24,218506,67,0.213,0.0743,9,-18.071,0,0.0408,0.344,3.45e-05,0.212,0.145,53.863
Happier Than Ever,Billie Eilish,"['art pop', 'electropop', 'pop']",Happier Than Ever,2021-07-30,298899,86,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055
HAPPINESS,NEEDTOBREATHE,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'folk-pop']",H A R D L O V E,2016-07-15,205773,56,0.575,0.765,9,-6.608,1,0.0345,0.00703,0.0,0.331,0.407,98.037
Happy Hour,Morgan Wallen,['contemporary country'],If I Know Me,2018-04-27,199840,62,0.616,0.835,7,-4.277,1,0.0354,0.162,0.0,0.0977,0.8,97.96
Hard Times,Paramore,"['candy pop', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",After Laughter,2017-05-12,182693,74,0.695,0.818,5,-5.379,0,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965
Hate My Life,Theory of a Deadman,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",Scars & Souvenirs (Special Edition),2008-04-01,190546,59,0.508,0.828,1,-4.065,1,0.033,0.0162,0.0,0.266,0.449,125.868
Havana (feat. Young Thug),Camila Cabello,"['dance pop', 'pop']",New Year's Eve - NYE 2018/2019,2018-12-07,214773,34,0.745,0.544,7,-4.517,0,0.0303,0.169,5.33e-05,0.12,0.422,104.985
Have You Ever Seen The Rain,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",Pendulum (Expanded Edition),1970-12-07,160133,85,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109
HeadBand (feat. 2 Chainz),B.o.B,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",Underground Luxury,2013-12-16,220240,68,0.919,0.506,1,-7.14,1,0.304,0.132,0.0,0.0771,0.273,97.465
Heading South,Zach Bryan,"['classic oklahoma country', 'modern country pop']",Heading South,2019-09-30,171692,81,0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23
Head Over Boots,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",California Sunrise,2016-05-13,202346,76,0.563,0.688,7,-4.474,1,0.0262,0.0763,0.0,0.0863,0.622,108.008
Headstrong,Trapt,"['alternative metal', 'nu metal', 'post-grunge']",Trapt,2002-11-05,285569,73,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981
Heads Will Roll - A-Trak Remix Radio Edit,Yeah Yeah Yeahs,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave']",Heads Will Roll,2009,203920,61,0.671,0.805,8,-3.232,0,0.081,0.0134,0.0547,0.237,0.866,132.051
Heartache On The Dance Floor,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",California Sunrise,2016-05-13,205200,76,0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0
Heart Attack,Demi Lovato,"['pop', 'post-teen pop']",Demi,2013-01-01,210840,79,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968
Heartless,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",After Hours,2020-03-20,198266,86,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062
Heartless (feat. Morgan Wallen),Diplo,"['edm', 'electro house', 'moombahton', 'pop dance', 'tropical house']",Do Si Do,2020-04-17,169226,0,0.764,0.555,11,-6.414,1,0.0604,0.275,0.0,0.0824,0.255,111.004
Heat Waves (with iann dior),Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",Heat Waves (with iann dior),2021-03-25,175301,54,0.655,0.716,8,-5.077,0,0.0897,0.476,0.0,0.479,0.521,80.813
Heaven,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",Kane Brown (Deluxe Edition),2017-10-06,179506,74,0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.006
Heavy (feat. Kiiara),Linkin Park,"['alternative metal', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",Heavy (feat. Kiiara),2017-02-16,169800,50,0.59,0.671,9,-6.098,1,0.0706,0.0484,0.0,0.0604,0.438,149.982
Hell's Comin' with Me,Poor Man's Poison,['deathgrass'],Hell's Comin' with Me,2019-12-13,212996,65,0.581,0.619,4,-7.691,0,0.0383,0.395,5.34e-06,0.197,0.533,129.879
Hell Yeah,Rev Theory,"['alternative metal', 'nu metal', 'post-grunge', 'rebel blues']",Light It Up,2008-01-01,247613,65,0.357,0.982,3,-3.41,0,0.107,0.000105,3.64e-06,0.0222,0.368,167.889
"Hey Look Ma, I Made It",Panic! At The Disco,['pop'],Pray for the Wicked,2018-06-22,169666,68,0.577,0.833,5,-3.337,1,0.0695,0.0137,0.0,0.121,0.58,107.936
Hey Tonight,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",Pendulum (Expanded Edition),1970-12-07,162853,64,0.709,0.78,4,-7.315,1,0.0323,0.0284,0.0839,0.185,0.691,128.826
Hey Ya!,Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",Speakerboxxx/The Love Below,2003,235213,83,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526
High Hopes,Panic! At The Disco,['pop'],Pray for the Wicked,2018-06-22,190946,83,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014
The Hills,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",Beauty Behind The Madness,2015-08-28,242253,88,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003
Hippies and Cowboys,Cody Jinks,"['classic texas country', 'modern southern rock', 'outlaw country']",Less Wise,2010-06-28,300680,0,0.698,0.586,5,-5.066,1,0.0278,0.0504,0.0,0.295,0.623,115.081
Hold Me Down,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",BADLANDS (Deluxe),2015-08-28,204785,59,0.677,0.744,1,-4.512,0,0.0882,0.279,0.0,0.119,0.531,145.928
hole in the bottle (with Shania Twain),Kelsea Ballerini,"['contemporary country', 'country']",hole in the bottle (with Shania Twain),2020-11-13,156275,63,0.565,0.837,4,-4.607,1,0.119,0.106,0.0,0.37,0.775,105.067
Honest,Kyndal Inskeep,[],Honest,2022-04-08,171000,57,0.422,0.39,5,-9.304,1,0.033,0.653,0.0,0.175,0.246,137.097
"Honey, I'm Good.",Andy Grammer,"['neo mellow', 'post-teen pop']",Magazines Or Novels,2014-08-05,199263,72,0.752,0.775,9,-7.289,1,0.0546,0.0324,0.0,0.351,0.595,122.014
Honky Tonk Badonkadonk,Trace Adkins,"['contemporary country', 'country', 'country road']",Dangerous Man,2006-01-01,240093,58,0.536,0.943,11,-5.317,0,0.108,0.399,2.27e-05,0.225,0.622,123.759
Hotel Room Service,Pitbull,"['dance pop', 'miami hip hop', 'pop']",Pitbull Starring In Rebelution,2009-08-27,237600,72,0.85,0.631,1,-8.401,1,0.227,0.00684,0.000406,0.0679,0.738,126.002
hot girl bummer,blackbear,"['alt z', 'pop']",everything means nothing,2020-08-21,188343,3,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992
How Did You Love,Shinedown,"['alternative metal', 'nu metal', 'post-grunge']",Threat to Survival,2015-09-18,187626,62,0.331,0.75,5,-5.202,1,0.0436,6.86e-05,1.21e-06,0.0945,0.26,185.97
Howlin' for You,The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",Brothers (Deluxe Remastered Anniversary Edition),2020-12-18,191956,67,0.725,0.747,11,-5.545,1,0.0876,0.0272,0.0468,0.104,0.38,132.921
Human,Rag'n'Bone Man,['neo soul'],Human (Deluxe),2017-02-10,200186,82,0.602,0.707,9,-4.097,1,0.302,0.393,0.0,0.165,0.554,75.087
Hungry Like the Wolf - 2009 Remaster,Duran Duran,"['album rock', 'classic rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']",Rio (Collector's Edition),1982-05-10,220626,74,0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568
Hymn for the Weekend - Seeb Remix,Coldplay,"['permanent wave', 'pop']",Hymn for the Weekend (Seeb Remix),2016-03-25,212647,69,0.565,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.427,102.034
I Bet My Life,Imagine Dragons,"['modern rock', 'pop', 'rock']",I Bet My Life,2014-09-18,192893,0,0.564,0.675,1,-8.035,1,0.0394,0.183,0.000371,0.347,0.544,108.072
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,"['classic soul', 'disco', 'motown', 'quiet storm', 'soul']",Four Tops Second Album,1965,160280,75,0.667,0.599,0,-8.894,1,0.0291,0.245,0.0,0.107,0.971,127.935
I Cant Stop,Flux Pavilion,"['brostep', 'classic dubstep', 'complextro', 'edm', 'electro house']",I Cant Stop,2011-08-22,303911,0,0.513,0.775,0,-7.202,0,0.0304,0.000672,0.248,0.409,0.205,139.932
I Could Use a Love Song,Maren Morris,"['classic texas country', 'contemporary country']",HERO (Deluxe Edition),2017-03-17,196421,67,0.638,0.634,6,-6.474,1,0.0468,0.214,0.0,0.0866,0.473,92.097
I Don't Care,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",Folie à Deux,2008-01-01,214493,65,0.55,0.938,11,-3.556,0,0.0522,0.00171,2.18e-05,0.555,0.433,133.99
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,"['pop', 'uk pop']",Fifty Shades Darker (Original Motion Picture Soundtrack),2017-02-10,245653,67,0.734,0.442,0,-8.432,1,0.0557,0.0594,1.63e-05,0.213,0.0973,117.967
I Don't Want to Be - Radio Edit,Gavin DeGraw,"['neo mellow', 'pop rock']",Pure... American Anthems,2014-09-01,217386,6,0.424,0.789,8,-8.787,1,0.0683,0.0117,0.0,0.149,0.516,154.785
I Fall Apart,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Stoney (Deluxe),2016-12-09,223346,81,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95
If It Means a Lot to You,A Day To Remember,"['alternative metal', 'metalcore', 'pop punk', 'screamo']",Homesick,2009,243226,0,0.584,0.536,10,-8.158,1,0.0279,0.112,0.0,0.456,0.44,126.996
"i hate u, i love u (feat. olivia o'brien)",gnash,"['alt z', 'pop']",us,2016-03-25,251033,77,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6
I Just Had Sex,The Lonely Island,"['comedy rap', 'comic']",Turtleneck & Chain (Explicit Version),2011-01-01,166560,63,0.615,0.811,6,-4.316,1,0.144,0.0188,0.0,0.196,0.808,167.995
I Just Want You,Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']",Cole Swindell,2014-02-18,235000,44,0.471,0.7,0,-4.343,1,0.0267,0.126,0.0,0.108,0.269,94.956
I Knew You Were Trouble.,Taylor Swift,['pop'],Red (Big Machine Radio Release Special),2012-10-22,219720,79,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019
I Know What You Did Last Summer,Shawn Mendes,"['canadian pop', 'pop', 'viral pop']",Handwritten,2015-04-14,223853,73,0.687,0.761,9,-4.582,0,0.0876,0.102,0.0,0.147,0.743,113.939
I Left My Home,Mjhanks,['maga rap'],I Left My Home,2021-09-24,227520,53,0.522,0.626,8,-7.732,1,0.162,0.0074,0.0384,0.734,0.371,120.215
I Like It,Cardi B,"['pop', 'rap']",Invasion of Privacy,2018-04-06,253390,79,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048
"I Like It, I Love It",Tim McGraw,"['contemporary country', 'country', 'country road']",All I Want,1995-08-15,205706,70,0.643,0.961,0,-5.298,1,0.0315,0.0196,0.0,0.948,0.96,124.027
I Like To Move It,will.i.am,"['dance pop', 'pop']",Madagascar: Escape 2 Africa (Music From The Motion Picture),2008-11-04,221466,70,0.842,0.791,7,-5.277,0,0.0437,0.428,0.0,0.0989,0.95,126.962
I Like You (A Happier Song) (with Doja Cat),Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Twelve Carat Toothache,2022-06-03,192840,87,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964
I Love College,Asher Roth,['indie pop rap'],Asleep In The Bread Aisle,2009-01-01,241933,60,0.713,0.826,8,-4.075,1,0.243,0.0897,0.0,0.421,0.664,86.444
I Love My Country,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",I Love My Country,2020-03-27,184554,0,0.538,0.941,4,-3.582,1,0.0639,0.0227,0.0,0.302,0.585,140.044
ily (i love you baby) (feat. Emilee),Surf Mesa,['tropical house'],ily (i love you baby) (feat. Emilee),2019-11-26,176546,77,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05
I'm an Albatraoz,AronChupa,['swedish pop'],I'm an Albatraoz,2014-08-08,166848,72,0.883,0.817,0,-5.414,1,0.235,0.601,0.00449,0.11,0.595,128.078
I'm Gonna Be (500 Miles),The Proclaimers,"['celtic rock', 'scottish rock']",Sunshine on Leith,1988,219466,74,0.851,0.551,4,-5.177,1,0.0396,0.151,0.0,0.0827,0.807,131.922
I'm Good,The Mowgli's,"['indie poptimism', 'modern alternative rock', 'modern rock', 'stomp and holler']",Kids In Love,2015-04-14,166893,59,0.612,0.921,0,-5.338,1,0.0705,0.0115,0.0,0.166,0.674,96.042
I'm Good (Blue),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue),2022-08-26,175238,94,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
I'm in a Hurry (And Don't Know Why),Alabama,"['contemporary country', 'country', 'country road', 'country rock']",Livin' Lovin' Rockin' Rollin': The 25th Anniversary Collection,1980,168813,66,0.748,0.72,9,-7.774,1,0.0286,0.237,0.0,0.069,0.86,128.69
I Miss You,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",blink-182,2003-01-01,227240,72,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0
Immortals,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",American Beauty/American Psycho,2015-01-20,189386,75,0.616,0.868,2,-3.606,1,0.0699,0.00131,1.54e-06,0.671,0.475,108.016
I'm Ready,AJR,['pov: indie'],I'm Ready - EP,2014-03-25,227311,40,0.628,0.867,9,-3.555,1,0.0913,0.0108,0.0,0.308,0.597,78.043
I’m So Sorry,Imagine Dragons,"['modern rock', 'pop', 'rock']",Smoke + Mirrors (Deluxe),2015-10-30,230226,50,0.528,0.687,2,-5.954,0,0.0532,0.144,0.0,0.251,0.423,142.605
In Between,Beartooth,"['melodic metalcore', 'metalcore', 'pop punk']",Disgusting,2014-06-10,213576,67,0.462,0.972,7,-2.642,0,0.138,0.00285,0.0,0.666,0.449,128.092
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,['lgbtq+ hip hop'],INDUSTRY BABY (feat. Jack Harlow),2021-07-23,212000,83,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995
I Need Your Love (feat. Ellie Goulding),Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",18 Months,2012-10-29,234506,73,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989
Inside Out (feat. Charlee) - DubVision Remix,The Chainsmokers,"['electropop', 'pop', 'tropical house']",Inside Out (feat. Charlee) [DubVision Remix],2016-07-15,299546,31,0.719,0.799,10,-4.805,1,0.0551,0.0186,3.94e-05,0.29,0.266,125.993
In the Name of Love,Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",In the Name of Love,2016-07-29,195706,81,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99
Into You,Ariana Grande,['pop'],Dangerous Woman,2016-04-01,244453,79,0.623,0.734,9,-5.95,1,0.107,0.0162,1.9e-06,0.145,0.372,107.853
In Your Eyes,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",After Hours,2020-03-20,237520,80,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021
I Put A Spell On You,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",Creedence Clearwater Revival (40th Anniversary Edition),1968-07-05,271786,0,0.391,0.732,4,-8.188,0,0.0295,0.00471,0.121,0.0979,0.622,100.354
I Quit Drinking,Kelsea Ballerini,"['contemporary country', 'country']",I Quit Drinking,2021-06-09,171200,72,0.607,0.418,1,-6.997,1,0.0363,0.394,0.0,0.182,0.386,95.002
I Really Wish I Hated You,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",NINE,2019-09-20,191066,61,0.615,0.81,1,-6.137,0,0.0506,0.0358,0.0,0.289,0.728,143.054
Irresistible,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",American Beauty/American Psycho,2015-01-20,206506,64,0.484,0.938,2,-3.123,1,0.112,0.0706,0.0,0.236,0.444,165.049
"The Island, Pt. I (Dawn)",Pendulum,"['australian dance', 'dancefloor dnb', 'drum and bass']",Immersion,2010-05-21,320173,55,0.578,0.893,9,-3.615,0,0.0557,6.15e-05,0.00629,0.147,0.373,126.018
iSpy (feat. Lil Yachty),KYLE,"['deep underground hip hop', 'indie pop rap', 'pop rap', 'viral trap']",iSpy (feat. Lil Yachty),2016-12-02,253106,72,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016
Issues,Julia Michaels,['pop'],Nervous System,2017-07-28,176320,76,0.728,0.415,8,-6.852,1,0.0639,0.401,0.0,0.0616,0.455,114.145
It Ain’t Me (with Selena Gomez),Kygo,"['edm', 'pop', 'pop dance', 'tropical house']",It Ain't Me,2017-02-17,220780,68,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968
It Ain't My Fault,Brothers Osborne,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",Pawn Shop,2016-01-15,216800,66,0.735,0.831,9,-5.898,1,0.0332,0.00166,0.217,0.291,0.756,123.017
I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,"['ohio hip hop', 'pop rap']",Hotel Diablo,2019-07-05,169397,74,0.628,0.744,7,-4.718,1,0.0379,0.0257,0.0,0.313,0.277,119.921
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,"['dance pop', 'pop', 'pop rap']","At Night, Alone.",2016-05-06,197933,79,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969
It's A Great Day To Be Alive,Travis Tritt,"['contemporary country', 'country', 'country road', 'outlaw country']",Down The Road I Go,2000-10-01,241533,73,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93
It's Called: Freefall,Rainbow Kitten Surprise,['pov: indie'],"How to: Friend, Love, Freefall",2018-04-06,152293,84,0.744,0.516,2,-6.365,1,0.0513,0.632,0.0,0.605,0.281,97.944
It's Five O'Clock Somewhere (with Jimmy Buffett),Alan Jackson,['country'],Playlist: The Very Best Of Alan Jackson,1991,230266,66,0.713,0.768,2,-6.702,1,0.0363,0.22,0.0,0.177,0.878,125.203
I WANNA BE YOUR SLAVE,Måneskin,"['indie rock italiano', 'italian pop', 'pop']",Teatro d'ira - Vol. I,2021-03-19,173346,83,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507
I Wanna Get Better,Bleachers,"['double drumming', 'indie pop', 'modern rock', 'pov: indie']",Strange Desire,2014-07-14,204520,65,0.446,0.915,9,-6.221,1,0.141,0.00281,3.87e-05,0.218,0.398,190.013
I Want It That Way,Backstreet Boys,"['boy band', 'dance pop', 'pop']",Millennium,1999-05-18,213306,82,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039
I Was On a Boat That Day,Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']",I Was On a Boat That Day,2021-05-21,178613,61,0.535,0.915,11,-3.819,1,0.0991,0.00699,0.0,0.224,0.731,140.13
I Write Sins Not Tragedies,Panic! At The Disco,['pop'],A Fever You Can't Sweat Out,2005-09-27,185586,71,0.566,0.815,9,-4.481,0,0.14,0.0737,0.0,0.12,0.672,169.961
Jackie Chan,Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",Jackie Chan,2018-05-18,215759,72,0.747,0.834,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005
Jet Pack Blues,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",American Beauty/American Psycho,2015-01-20,179266,57,0.548,0.889,4,-4.52,0,0.128,0.00784,0.00866,0.341,0.365,156.041
Jimmy Choo,Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Jimmy Choo,2016-02-05,176855,50,0.893,0.646,11,-5.073,0,0.1,0.112,0.0,0.104,0.468,132.97
Juliet - Single Edit,LMNT,['boy band'],Juliet,2001-11-13,219986,52,0.605,0.964,9,-1.581,1,0.0643,0.011,0.0,0.187,0.81,99.071
Jungle,X Ambassadors,"['modern alternative rock', 'modern rock', 'stomp pop']",VHS,2015-06-30,189706,61,0.389,0.748,2,-4.461,1,0.0805,0.000821,0.00058,0.358,0.216,78.056
Just Drive,Erin Kinsey,['modern country pop'],Just Drive,2021-08-06,147693,0,0.714,0.766,6,-4.42,1,0.0365,0.0978,0.0018,0.0595,0.661,114.96
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,"['dance pop', 'pop']","Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",2016-04-15,215413,70,0.632,0.702,7,-5.92,1,0.148,0.0114,0.0,0.108,0.523,162.958
Just Look Up (From Don’t Look Up),Ariana Grande,['pop'],Just Look Up (From Don’t Look Up),2021-12-03,201667,65,0.566,0.581,9,-5.181,1,0.043,0.216,0.0,0.0853,0.152,130.043
Kamikaze,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Kamikaze,2018-08-31,216029,64,0.78,0.808,2,-5.175,1,0.484,0.112,0.0,0.329,0.642,79.982
Kanye,The Chainsmokers,"['electropop', 'pop', 'tropical house']",Kanye,2014-08-05,229946,55,0.599,0.614,10,-6.573,1,0.0517,0.00203,1.56e-06,0.117,0.122,128.044
Kids,MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",Oracular Spectacular,2007-12-14,302840,78,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961
The Kids Aren't Alright,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",American Beauty/American Psycho,2015-01-20,260920,61,0.615,0.763,6,-4.189,1,0.0322,0.000246,0.141,0.298,0.333,115.991
The Kids Aren't Alright,The Offspring,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",Americana,1998-11-16,180160,82,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607
Kill Em With Kindness,Selena Gomez,"['pop', 'post-teen pop']",Revival (Deluxe),2015-10-09,217906,62,0.757,0.884,10,-5.488,0,0.0404,0.00795,5.87e-05,0.0973,0.398,120.012
killer queen,Mad Tsai,"['bedroom pop', 'pov: indie']",killer queen,2021-10-29,178888,71,0.69,0.732,3,-5.352,0,0.0497,0.0604,0.00114,0.168,0.636,107.977
Killshot,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Killshot,2018-09-19,253579,72,0.893,0.651,0,-8.647,0,0.367,0.0995,0.0,0.371,0.6,105.835
